wire if_bj_taken_w;
[5000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000000 MEMWB_MEM_DATA=00000000 MEMWB_ALU=00000000 | EXMEM_PC=00000000 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[125000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000002 | MEMWB_PC+4=0000001c MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000002 | EXMEM_PC=00000020 EXMEM_ALU=00000004 | EX_RS1=00000001 EX_RS200000002
[135000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000002 | MEMWB_PC+4=00000020 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000004 | EXMEM_PC=00000024 EXMEM_ALU=00000001 | EX_RS1=00000001 EX_RS200000002
[145000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000002 | MEMWB_PC+4=00000024 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000001 | EXMEM_PC=00000028 EXMEM_ALU=00000001 | EX_RS1=00000001 EX_RS200000002
[155000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000002  SRC2=00000001 | MEMWB_PC+4=00000028 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000001 | EXMEM_PC=0000002c EXMEM_ALU=00000003 | EX_RS1=00000002 EX_RS200000001
[165000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000002  SRC2=00000001 | MEMWB_PC+4=0000002c MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000003 | EXMEM_PC=00000030 EXMEM_ALU=00000001 | EX_RS1=00000002 EX_RS200000001
[175000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000002 | MEMWB_PC+4=00000030 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000001 | EXMEM_PC=00000034 EXMEM_ALU=00000001 | EX_RS1=00000001 EX_RS200000002
[185000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000002 | MEMWB_PC+4=00000034 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000001 | EXMEM_PC=00000038 EXMEM_ALU=00000003 | EX_RS1=00000001 EX_RS200000002
[195000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000000 | MEMWB_PC+4=00000038 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000003 | EXMEM_PC=0000003c EXMEM_ALU=00000000 | EX_RS1=00000001 EX_RS200000000
[205000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000000 | MEMWB_PC+4=0000003c MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000040 EXMEM_ALU=0000000b | EX_RS1=00000001 EX_RS200000000
[215000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000000 | MEMWB_PC+4=00000040 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=0000000b | EXMEM_PC=00000044 EXMEM_ALU=00000001 | EX_RS1=00000001 EX_RS200000000
[225000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000000 | MEMWB_PC+4=00000044 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000001 | EXMEM_PC=00000048 EXMEM_ALU=00000001 | EX_RS1=00000001 EX_RS200000000
[235000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000000 | MEMWB_PC+4=00000048 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000001 | EXMEM_PC=0000004c EXMEM_ALU=00000002 | EX_RS1=00000001 EX_RS200000000
[245000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000000 | MEMWB_PC+4=0000004c MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000002 | EXMEM_PC=00000050 EXMEM_ALU=00000007 | EX_RS1=00000001 EX_RS200000000
[255000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000000 | MEMWB_PC+4=00000050 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000007 | EXMEM_PC=00000054 EXMEM_ALU=00000001 | EX_RS1=00000001 EX_RS200000000
[265000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000000 | MEMWB_PC+4=00000054 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000001 | EXMEM_PC=00000058 EXMEM_ALU=00000002 | EX_RS1=00000001 EX_RS200000000
[275000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000000 | MEMWB_PC+4=00000058 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000002 | EXMEM_PC=0000005c EXMEM_ALU=00000000 | EX_RS1=00000001 EX_RS200000000
[285000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=0000005c MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000060 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[295000][FORWARDING-UNIT] MUX1=1 MUX2=0 | SRC1=000000f4  SRC2=00000000 | MEMWB_PC+4=00000060 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000064 EXMEM_ALU=000000f4 | EX_RS1=xxxxxxxx EX_RS200000000
[305000][FORWARDING-UNIT] MUX1=6 MUX2=0 | SRC1=000000f4  SRC2=00000000 | MEMWB_PC+4=00000064 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=000000f4 | EXMEM_PC=00000068 EXMEM_ALU=000000f4 | EX_RS1=xxxxxxxx EX_RS200000000
[315000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=xxxxxxxx  SRC2=00000000 | MEMWB_PC+4=00000068 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=000000f4 | EXMEM_PC=0000006c EXMEM_ALU=000000f4 | EX_RS1=xxxxxxxx EX_RS200000000
[325000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=000000f4  SRC2=00000000 | MEMWB_PC+4=0000006c MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=000000f4 | EXMEM_PC=00000070 EXMEM_ALU=xxxxxxxx | EX_RS1=000000f4 EX_RS200000000
[335000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=000000f4  SRC2=00000000 | MEMWB_PC+4=00000070 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=xxxxxxxx | EXMEM_PC=00000074 EXMEM_ALU=000000f4 | EX_RS1=000000f4 EX_RS200000000
[345000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=000000f4  SRC2=00000001 | MEMWB_PC+4=00000074 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=000000f4 | EXMEM_PC=00000078 EXMEM_ALU=000000f4 | EX_RS1=000000f4 EX_RS200000001
[355000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=000000f4  SRC2=00000002 | MEMWB_PC+4=00000078 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=000000f4 | EXMEM_PC=0000007c EXMEM_ALU=000000f4 | EX_RS1=000000f4 EX_RS200000002
[365000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=000000f4  SRC2=00000003 | MEMWB_PC+4=0000007c MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=000000f4 | EXMEM_PC=00000080 EXMEM_ALU=000000f6 | EX_RS1=000000f4 EX_RS200000003
[375000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000001 | MEMWB_PC+4=00000080 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=000000f6 | EXMEM_PC=00000084 EXMEM_ALU=000000f8 | EX_RS1=00000001 EX_RS200000001
[385000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000084 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=000000f8 | EXMEM_PC=00000088 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[395000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000088 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000000 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[405000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000000 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000004 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[415000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000002 | MEMWB_PC+4=00000004 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000004 EXMEM_ALU=00000000 | EX_RS1=00000001 EX_RS200000002
[425000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000004 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000090 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[435000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000090 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000000 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[445000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000000 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000004 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[455000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000002 | MEMWB_PC+4=00000004 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000004 EXMEM_ALU=00000000 | EX_RS1=00000001 EX_RS200000002
[465000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000004 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000098 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[475000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000098 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000000 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[485000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000000 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000004 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[495000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000002  SRC2=00000001 | MEMWB_PC+4=00000004 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000004 EXMEM_ALU=00000000 | EX_RS1=00000002 EX_RS200000001
[505000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000004 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=000000a0 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[515000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=000000a0 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000000 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[525000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000000 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000004 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[535000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000002 | MEMWB_PC+4=00000004 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000004 EXMEM_ALU=00000000 | EX_RS1=00000001 EX_RS200000002
[545000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000004 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=000000a8 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[555000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=000000a8 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000000 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[565000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000000 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000004 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[575000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000002  SRC2=00000001 | MEMWB_PC+4=00000004 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000004 EXMEM_ALU=00000000 | EX_RS1=00000002 EX_RS200000001
[585000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000004 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=000000b0 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[595000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=000000b0 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000000 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[605000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000000 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000004 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[615000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000004 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000004 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[625000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000004 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=000000b8 EXMEM_ALU=00000008 | EX_RS1=00000000 EX_RS200000000
[635000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=000000b8 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000008 | EXMEM_PC=00000000 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[645000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000000 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000004 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[655000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000000 | MEMWB_PC+4=00000004 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000004 EXMEM_ALU=00000000 | EX_RS1=00000001 EX_RS200000000
[665000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000004 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=000000c0 EXMEM_ALU=00000001 | EX_RS1=00000000 EX_RS200000000
[675000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=000000c0 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000001 | EXMEM_PC=00000000 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[685000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000000 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000004 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[695000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000004 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000004 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[705000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000004 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000004 EXMEM_ALU=00000001 | EX_RS1=00000000 EX_RS200000000
[715000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000004 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000001 | EXMEM_PC=00000008 EXMEM_ALU=00000002 | EX_RS1=00000000 EX_RS200000000
[725000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000008 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000002 | EXMEM_PC=0000000c EXMEM_ALU=00000003 | EX_RS1=00000000 EX_RS200000000
[735000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=0000000c MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000003 | EXMEM_PC=00000010 EXMEM_ALU=00000004 | EX_RS1=00000000 EX_RS200000000
[745000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000002 | MEMWB_PC+4=00000010 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000004 | EXMEM_PC=00000014 EXMEM_ALU=00000005 | EX_RS1=00000001 EX_RS200000002
[755000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000003  SRC2=00000001 | MEMWB_PC+4=00000014 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000005 | EXMEM_PC=00000018 EXMEM_ALU=00000003 | EX_RS1=00000003 EX_RS200000001
[765000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000002 | MEMWB_PC+4=00000018 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000003 | EXMEM_PC=0000001c EXMEM_ALU=00000002 | EX_RS1=00000001 EX_RS200000002
[775000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000002 | MEMWB_PC+4=0000001c MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000002 | EXMEM_PC=00000020 EXMEM_ALU=00000004 | EX_RS1=00000001 EX_RS200000002
[785000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000002 | MEMWB_PC+4=00000020 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000004 | EXMEM_PC=00000024 EXMEM_ALU=00000001 | EX_RS1=00000001 EX_RS200000002
[795000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000002 | MEMWB_PC+4=00000024 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000001 | EXMEM_PC=00000028 EXMEM_ALU=00000001 | EX_RS1=00000001 EX_RS200000002
