wire if_bj_taken_w;
[5000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=00000000 PC+4=00000000 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[595000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=000000b0 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[605000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000000 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[615000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000004 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[625000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000004 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[635000][WB-SIGNAL] SEL=2 | ALU=00000008 MEM=xxxxxxxx PC+4=000000b8 | REG_WRITE=1 RD_ADDR=1f | WB_DATA=000000b8 
[645000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000000 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[655000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000004 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[665000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000004 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[675000][WB-SIGNAL] SEL=2 | ALU=00000001 MEM=xxxxxxxx PC+4=000000c0 | REG_WRITE=1 RD_ADDR=1f | WB_DATA=000000c0 
[685000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000000 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[695000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000004 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[705000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000004 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[715000][WB-SIGNAL] SEL=0 | ALU=00000001 MEM=xxxxxxxx PC+4=00000004 | REG_WRITE=1 RD_ADDR=01 | WB_DATA=00000001 
[725000][WB-SIGNAL] SEL=0 | ALU=00000002 MEM=xxxxxxxx PC+4=00000008 | REG_WRITE=1 RD_ADDR=02 | WB_DATA=00000002 
[735000][WB-SIGNAL] SEL=0 | ALU=00000003 MEM=xxxxxxxx PC+4=0000000c | REG_WRITE=1 RD_ADDR=03 | WB_DATA=00000003 
[745000][WB-SIGNAL] SEL=0 | ALU=00000004 MEM=xxxxxxxx PC+4=00000010 | REG_WRITE=1 RD_ADDR=04 | WB_DATA=00000004 
[755000][WB-SIGNAL] SEL=0 | ALU=00000005 MEM=xxxxxxxx PC+4=00000014 | REG_WRITE=1 RD_ADDR=05 | WB_DATA=00000005 
[765000][WB-SIGNAL] SEL=0 | ALU=00000003 MEM=xxxxxxxx PC+4=00000018 | REG_WRITE=1 RD_ADDR=06 | WB_DATA=00000003 
[775000][WB-SIGNAL] SEL=0 | ALU=00000002 MEM=xxxxxxxx PC+4=0000001c | REG_WRITE=1 RD_ADDR=07 | WB_DATA=00000002 
[785000][WB-SIGNAL] SEL=0 | ALU=00000004 MEM=xxxxxxxx PC+4=00000020 | REG_WRITE=1 RD_ADDR=08 | WB_DATA=00000004 
[795000][WB-SIGNAL] SEL=0 | ALU=00000001 MEM=xxxxxxxx PC+4=00000024 | REG_WRITE=1 RD_ADDR=09 | WB_DATA=00000001 
