wire [31:0] if_instruction_w;
[5000][ID-SIGNAL] PC=00000000 INSTR=00000000 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[115000][ID-SIGNAL] PC=00000020 INSTR=0020a4b3 | RS1_ADDR=01 RS1_ADDR=02 | RS1_DATA=00000001 RS2_DATA=00000002 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=0011 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=01001
[125000][ID-SIGNAL] PC=00000024 INSTR=0020b533 | RS1_ADDR=01 RS1_ADDR=02 | RS1_DATA=00000001 RS2_DATA=00000002 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=0100 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=01010
[135000][ID-SIGNAL] PC=00000028 INSTR=0020c5b3 | RS1_ADDR=01 RS1_ADDR=02 | RS1_DATA=00000001 RS2_DATA=00000002 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=0101 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=01011
[145000][ID-SIGNAL] PC=0000002c INSTR=00115633 | RS1_ADDR=02 RS1_ADDR=01 | RS1_DATA=00000002 RS2_DATA=00000001 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=0110 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=01100
[155000][ID-SIGNAL] PC=00000030 INSTR=401156b3 | RS1_ADDR=02 RS1_ADDR=01 | RS1_DATA=00000002 RS2_DATA=00000001 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=0111 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=01101
[165000][ID-SIGNAL] PC=00000034 INSTR=0020e733 | RS1_ADDR=01 RS1_ADDR=02 | RS1_DATA=00000001 RS2_DATA=00000002 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=1000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=01110
[175000][ID-SIGNAL] PC=00000038 INSTR=0020f7b3 | RS1_ADDR=01 RS1_ADDR=02 | RS1_DATA=00000001 RS2_DATA=00000002 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=1001 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=01111
[185000][ID-SIGNAL] PC=0000003c INSTR=00a08813 | RS1_ADDR=01 RS1_ADDR=00 | RS1_DATA=00000001 RS2_DATA=00000000 | IMM=0000000a | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=10000
[195000][ID-SIGNAL] PC=00000040 INSTR=0050a893 | RS1_ADDR=01 RS1_ADDR=00 | RS1_DATA=00000001 RS2_DATA=00000000 | IMM=00000005 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0011 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=10001
[205000][ID-SIGNAL] PC=00000044 INSTR=0050b913 | RS1_ADDR=01 RS1_ADDR=00 | RS1_DATA=00000001 RS2_DATA=00000000 | IMM=00000005 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0100 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=10010
[215000][ID-SIGNAL] PC=00000048 INSTR=0030c993 | RS1_ADDR=01 RS1_ADDR=00 | RS1_DATA=00000001 RS2_DATA=00000000 | IMM=00000003 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0101 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=10011
[225000][ID-SIGNAL] PC=0000004c INSTR=0070ea13 | RS1_ADDR=01 RS1_ADDR=00 | RS1_DATA=00000001 RS2_DATA=00000000 | IMM=00000007 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=1000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=10100
[235000][ID-SIGNAL] PC=00000050 INSTR=0070fa93 | RS1_ADDR=01 RS1_ADDR=00 | RS1_DATA=00000001 RS2_DATA=00000000 | IMM=00000007 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=1001 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=10101
[245000][ID-SIGNAL] PC=00000054 INSTR=00109b13 | RS1_ADDR=01 RS1_ADDR=00 | RS1_DATA=00000001 RS2_DATA=00000000 | IMM=00000001 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0010 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=10110
[255000][ID-SIGNAL] PC=00000058 INSTR=0010db93 | RS1_ADDR=01 RS1_ADDR=00 | RS1_DATA=00000001 RS2_DATA=00000000 | IMM=00000001 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0110 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=10111
[265000][ID-SIGNAL] PC=0000005c INSTR=4010dc13 | RS1_ADDR=01 RS1_ADDR=00 | RS1_DATA=00000001 RS2_DATA=00000000 | IMM=00000001 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0111 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=11000
[275000][ID-SIGNAL] PC=00000060 INSTR=0f400c93 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=000000f4 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=11001
[285000][ID-SIGNAL] PC=00000064 INSTR=000c8d03 | RS1_ADDR=19 RS1_ADDR=00 | RS1_DATA=xxxxxxxx RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=1 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=01 RD_ADDR=11010
[295000][ID-SIGNAL] PC=00000068 INSTR=000c9d83 | RS1_ADDR=19 RS1_ADDR=00 | RS1_DATA=xxxxxxxx RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=1 MEMWRITE=0 WIDTH_SE=001 | REGWRITE=1 WB_SE=01 RD_ADDR=11011
[305000][ID-SIGNAL] PC=0000006c INSTR=000cae03 | RS1_ADDR=19 RS1_ADDR=00 | RS1_DATA=xxxxxxxx RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=1 MEMWRITE=0 WIDTH_SE=010 | REGWRITE=1 WB_SE=01 RD_ADDR=11100
[315000][ID-SIGNAL] PC=00000070 INSTR=000cce83 | RS1_ADDR=19 RS1_ADDR=00 | RS1_DATA=000000f4 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=1 MEMWRITE=0 WIDTH_SE=100 | REGWRITE=1 WB_SE=01 RD_ADDR=11101
[325000][ID-SIGNAL] PC=00000074 INSTR=000cdf03 | RS1_ADDR=19 RS1_ADDR=00 | RS1_DATA=000000f4 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=1 MEMWRITE=0 WIDTH_SE=101 | REGWRITE=1 WB_SE=01 RD_ADDR=11110
[335000][ID-SIGNAL] PC=00000078 INSTR=001c8023 | RS1_ADDR=19 RS1_ADDR=01 | RS1_DATA=000000f4 RS2_DATA=00000001 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=1 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[345000][ID-SIGNAL] PC=0000007c INSTR=002c9123 | RS1_ADDR=19 RS1_ADDR=02 | RS1_DATA=000000f4 RS2_DATA=00000002 | IMM=00000002 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=1 WIDTH_SE=001 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[355000][ID-SIGNAL] PC=00000080 INSTR=003ca223 | RS1_ADDR=19 RS1_ADDR=03 | RS1_DATA=000000f4 RS2_DATA=00000003 | IMM=00000004 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=1 WIDTH_SE=010 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[365000][ID-SIGNAL] PC=00000084 INSTR=00108463 | RS1_ADDR=01 RS1_ADDR=01 | RS1_DATA=00000001 RS2_DATA=00000001 | IMM=00000008 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=1010 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[375000][ID-SIGNAL] PC=00000088 INSTR=00000013 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00000
[385000][ID-SIGNAL] PC=0000008c INSTR=00209463 | RS1_ADDR=01 RS1_ADDR=02 | RS1_DATA=00000001 RS2_DATA=00000002 | IMM=00000008 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=1011 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[395000][ID-SIGNAL] PC=00000000 INSTR=00000000 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[405000][ID-SIGNAL] PC=0000008c INSTR=00209463 | RS1_ADDR=01 RS1_ADDR=02 | RS1_DATA=00000001 RS2_DATA=00000002 | IMM=00000008 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=1011 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[415000][ID-SIGNAL] PC=00000090 INSTR=00000013 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00000
[425000][ID-SIGNAL] PC=00000094 INSTR=0020c463 | RS1_ADDR=01 RS1_ADDR=02 | RS1_DATA=00000001 RS2_DATA=00000002 | IMM=00000008 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=1100 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[435000][ID-SIGNAL] PC=00000000 INSTR=00000000 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[445000][ID-SIGNAL] PC=00000094 INSTR=0020c463 | RS1_ADDR=01 RS1_ADDR=02 | RS1_DATA=00000001 RS2_DATA=00000002 | IMM=00000008 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=1100 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[455000][ID-SIGNAL] PC=00000098 INSTR=00000013 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00000
[465000][ID-SIGNAL] PC=0000009c INSTR=00115463 | RS1_ADDR=02 RS1_ADDR=01 | RS1_DATA=00000002 RS2_DATA=00000001 | IMM=00000008 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=1101 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[475000][ID-SIGNAL] PC=00000000 INSTR=00000000 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[485000][ID-SIGNAL] PC=0000009c INSTR=00115463 | RS1_ADDR=02 RS1_ADDR=01 | RS1_DATA=00000002 RS2_DATA=00000001 | IMM=00000008 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=1101 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[495000][ID-SIGNAL] PC=000000a0 INSTR=00000013 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00000
[505000][ID-SIGNAL] PC=000000a4 INSTR=0020e463 | RS1_ADDR=01 RS1_ADDR=02 | RS1_DATA=00000001 RS2_DATA=00000002 | IMM=00000008 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=1110 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[515000][ID-SIGNAL] PC=00000000 INSTR=00000000 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[525000][ID-SIGNAL] PC=000000a4 INSTR=0020e463 | RS1_ADDR=01 RS1_ADDR=02 | RS1_DATA=00000001 RS2_DATA=00000002 | IMM=00000008 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=1110 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[535000][ID-SIGNAL] PC=000000a8 INSTR=00000013 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00000
[545000][ID-SIGNAL] PC=000000ac INSTR=00117463 | RS1_ADDR=02 RS1_ADDR=01 | RS1_DATA=00000002 RS2_DATA=00000001 | IMM=00000008 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=1111 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[555000][ID-SIGNAL] PC=00000000 INSTR=00000000 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[565000][ID-SIGNAL] PC=000000ac INSTR=00117463 | RS1_ADDR=02 RS1_ADDR=01 | RS1_DATA=00000002 RS2_DATA=00000001 | IMM=00000008 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=1111 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[575000][ID-SIGNAL] PC=000000b0 INSTR=00000013 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00000
[585000][ID-SIGNAL] PC=000000b4 INSTR=00800fef | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000008 | JAL=1 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=10 RD_ADDR=11111
[595000][ID-SIGNAL] PC=00000000 INSTR=00000000 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[605000][ID-SIGNAL] PC=000000b4 INSTR=00800fef | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000008 | JAL=1 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=10 RD_ADDR=11111
[615000][ID-SIGNAL] PC=000000b8 INSTR=00000013 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00000
[625000][ID-SIGNAL] PC=000000bc INSTR=00008fe7 | RS1_ADDR=01 RS1_ADDR=00 | RS1_DATA=00000001 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=1 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=10 RD_ADDR=11111
[635000][ID-SIGNAL] PC=00000000 INSTR=00000000 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[645000][ID-SIGNAL] PC=000000bc INSTR=00008fe7 | RS1_ADDR=01 RS1_ADDR=00 | RS1_DATA=00000001 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=1 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=10 RD_ADDR=11111
[655000][ID-SIGNAL] PC=000000c0 INSTR=123453b7 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=12345000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00111
[665000][ID-SIGNAL] PC=000000c4 INSTR=00010417 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00010000 | JAL=0 JALR=0 ALU_SRC1_SE=1 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=01000
[675000][ID-SIGNAL] PC=00000000 INSTR=00000000 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[685000][ID-SIGNAL] PC=00000000 INSTR=00100093 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000001 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00001
