wire if_bj_taken_w;
[5000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[495000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[505000][FLUSH] IFID=1 IDEX=1 EXMEM=1 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=1
[515000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[525000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[535000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[545000][FLUSH] IFID=1 IDEX=1 EXMEM=1 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=1
[555000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[565000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[575000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[585000][FLUSH] IFID=1 IDEX=1 EXMEM=1 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=1
[595000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[605000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[615000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[625000][FLUSH] IFID=1 IDEX=1 EXMEM=1 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=1
[635000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[645000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[655000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[665000][FLUSH] IFID=1 IDEX=1 EXMEM=1 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=1
[675000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[685000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[695000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[705000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[715000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[725000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[735000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[745000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[755000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[765000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[775000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[785000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[795000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
