wire [31:0] if_pc_bj_w;
[5000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[175000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000002 | OPERAND1=00000001 OPERAND2=00000002 ALU_OP=8 | ALU_RESULT=00000003 | BJ_PC=00000034 BJ_TAKEN=0 |
[185000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000002 | OPERAND1=00000001 OPERAND2=00000002 ALU_OP=9 | ALU_RESULT=00000000 | BJ_PC=00000038 BJ_TAKEN=0 |
[195000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000000 | OPERAND1=00000001 OPERAND2=0000000a ALU_OP=0 | ALU_RESULT=0000000b | BJ_PC=00000046 BJ_TAKEN=0 |
[205000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000000 | OPERAND1=00000001 OPERAND2=00000005 ALU_OP=3 | ALU_RESULT=00000001 | BJ_PC=00000045 BJ_TAKEN=0 |
[215000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000000 | OPERAND1=00000001 OPERAND2=00000005 ALU_OP=4 | ALU_RESULT=00000001 | BJ_PC=00000049 BJ_TAKEN=0 |
[225000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000000 | OPERAND1=00000001 OPERAND2=00000003 ALU_OP=5 | ALU_RESULT=00000002 | BJ_PC=0000004b BJ_TAKEN=0 |
[235000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000000 | OPERAND1=00000001 OPERAND2=00000007 ALU_OP=8 | ALU_RESULT=00000007 | BJ_PC=00000053 BJ_TAKEN=0 |
[245000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000000 | OPERAND1=00000001 OPERAND2=00000007 ALU_OP=9 | ALU_RESULT=00000001 | BJ_PC=00000057 BJ_TAKEN=0 |
[255000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000000 | OPERAND1=00000001 OPERAND2=00000001 ALU_OP=2 | ALU_RESULT=00000002 | BJ_PC=00000055 BJ_TAKEN=0 |
[265000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000000 | OPERAND1=00000001 OPERAND2=00000001 ALU_OP=6 | ALU_RESULT=00000000 | BJ_PC=00000059 BJ_TAKEN=0 |
[275000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000000 | OPERAND1=00000001 OPERAND2=00000001 ALU_OP=7 | ALU_RESULT=00000000 | BJ_PC=0000005d BJ_TAKEN=0 |
[285000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=000000f4 ALU_OP=0 | ALU_RESULT=000000f4 | BJ_PC=00000154 BJ_TAKEN=0 |
[295000][EX-SIGNAL] RS1_DATA=xxxxxxxx RS2_DATA=00000000 | OPERAND1=000000f4 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=000000f4 | BJ_PC=00000064 BJ_TAKEN=0 |
[305000][EX-SIGNAL] RS1_DATA=xxxxxxxx RS2_DATA=00000000 | OPERAND1=000000f4 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=000000f4 | BJ_PC=00000068 BJ_TAKEN=0 |
[315000][EX-SIGNAL] RS1_DATA=xxxxxxxx RS2_DATA=00000000 | OPERAND1=xxxxxxxx OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=xxxxxxxx | BJ_PC=0000006c BJ_TAKEN=0 |
[325000][EX-SIGNAL] RS1_DATA=000000f4 RS2_DATA=00000000 | OPERAND1=000000f4 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=000000f4 | BJ_PC=00000070 BJ_TAKEN=0 |
[335000][EX-SIGNAL] RS1_DATA=000000f4 RS2_DATA=00000000 | OPERAND1=000000f4 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=000000f4 | BJ_PC=00000074 BJ_TAKEN=0 |
[345000][EX-SIGNAL] RS1_DATA=000000f4 RS2_DATA=00000001 | OPERAND1=000000f4 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=000000f4 | BJ_PC=00000078 BJ_TAKEN=0 |
[355000][EX-SIGNAL] RS1_DATA=000000f4 RS2_DATA=00000002 | OPERAND1=000000f4 OPERAND2=00000002 ALU_OP=0 | ALU_RESULT=000000f6 | BJ_PC=0000007e BJ_TAKEN=0 |
[365000][EX-SIGNAL] RS1_DATA=000000f4 RS2_DATA=00000003 | OPERAND1=000000f4 OPERAND2=00000004 ALU_OP=0 | ALU_RESULT=000000f8 | BJ_PC=00000084 BJ_TAKEN=0 |
[375000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000001 | OPERAND1=00000001 OPERAND2=00000001 ALU_OP=a | ALU_RESULT=00000000 | BJ_PC=0000008c BJ_TAKEN=1 |
[385000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000088 BJ_TAKEN=0 |
[395000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[405000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[415000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000002 | OPERAND1=00000001 OPERAND2=00000002 ALU_OP=b | ALU_RESULT=00000000 | BJ_PC=00000094 BJ_TAKEN=1 |
[425000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000090 BJ_TAKEN=0 |
[435000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[445000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[455000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000002 | OPERAND1=00000001 OPERAND2=00000002 ALU_OP=c | ALU_RESULT=00000000 | BJ_PC=0000009c BJ_TAKEN=1 |
[465000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000098 BJ_TAKEN=0 |
[475000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[485000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[495000][EX-SIGNAL] RS1_DATA=00000002 RS2_DATA=00000001 | OPERAND1=00000002 OPERAND2=00000001 ALU_OP=d | ALU_RESULT=00000000 | BJ_PC=000000a4 BJ_TAKEN=1 |
[505000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=000000a0 BJ_TAKEN=0 |
[515000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[525000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[535000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000002 | OPERAND1=00000001 OPERAND2=00000002 ALU_OP=e | ALU_RESULT=00000000 | BJ_PC=000000ac BJ_TAKEN=1 |
[545000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=000000a8 BJ_TAKEN=0 |
[555000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[565000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[575000][EX-SIGNAL] RS1_DATA=00000002 RS2_DATA=00000001 | OPERAND1=00000002 OPERAND2=00000001 ALU_OP=f | ALU_RESULT=00000000 | BJ_PC=000000b4 BJ_TAKEN=1 |
[585000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=000000b0 BJ_TAKEN=0 |
[595000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[605000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[615000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000008 ALU_OP=0 | ALU_RESULT=00000008 | BJ_PC=000000bc BJ_TAKEN=1 |
[625000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=000000b8 BJ_TAKEN=0 |
[635000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[645000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[655000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000000 | OPERAND1=00000001 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000001 | BJ_PC=00000000 BJ_TAKEN=1 |
[665000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=12345000 ALU_OP=0 | ALU_RESULT=12345000 | BJ_PC=123450c0 BJ_TAKEN=0 |
[675000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[685000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[695000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000001 ALU_OP=0 | ALU_RESULT=00000001 | BJ_PC=00000001 BJ_TAKEN=0 |
[705000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000002 ALU_OP=0 | ALU_RESULT=00000002 | BJ_PC=00000006 BJ_TAKEN=0 |
[715000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000003 ALU_OP=0 | ALU_RESULT=00000003 | BJ_PC=0000000b BJ_TAKEN=0 |
[725000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000004 ALU_OP=0 | ALU_RESULT=00000004 | BJ_PC=00000010 BJ_TAKEN=0 |
[735000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000005 ALU_OP=0 | ALU_RESULT=00000005 | BJ_PC=00000015 BJ_TAKEN=0 |
[745000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000002 | OPERAND1=00000001 OPERAND2=00000002 ALU_OP=0 | ALU_RESULT=00000003 | BJ_PC=00000014 BJ_TAKEN=0 |
[755000][EX-SIGNAL] RS1_DATA=00000003 RS2_DATA=00000001 | OPERAND1=00000003 OPERAND2=00000001 ALU_OP=1 | ALU_RESULT=00000002 | BJ_PC=00000018 BJ_TAKEN=0 |
[765000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000002 | OPERAND1=00000001 OPERAND2=00000002 ALU_OP=2 | ALU_RESULT=00000004 | BJ_PC=0000001c BJ_TAKEN=0 |
[775000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000002 | OPERAND1=00000001 OPERAND2=00000002 ALU_OP=3 | ALU_RESULT=00000001 | BJ_PC=00000020 BJ_TAKEN=0 |
[785000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000002 | OPERAND1=00000001 OPERAND2=00000002 ALU_OP=4 | ALU_RESULT=00000001 | BJ_PC=00000024 BJ_TAKEN=0 |
[795000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000002 | OPERAND1=00000001 OPERAND2=00000002 ALU_OP=5 | ALU_RESULT=00000003 | BJ_PC=00000028 BJ_TAKEN=0 |
